Time,IsBeat?,BPM,EDR,Time after start,Relative BPM,Relative EDR
322575,beat,350,201,0,0.614678899,0.218978102
322586,beat,350,201,11,0.614678899,0.218978102
322598,beat,350,201,23,0.614678899,0.218978102
322611,beat,350,201,36,0.614678899,0.218978102
322622,beat,350,202,47,0.614678899,0.222627737
322658,beat,350,202,83,0.614678899,0.222627737
322853,beat,350,202,278,0.614678899,0.222627737
322968,beat,350,203,393,0.614678899,0.226277372
323159,beat,350,203,584,0.614678899,0.226277372
323356,beat,350,207,781,0.614678899,0.240875912
323475,beat,350,207,900,0.614678899,0.240875912
323665,beat,350,208,1090,0.614678899,0.244525547
323864,beat,350,208,1289,0.614678899,0.244525547
323983,beat,350,208,1408,0.614678899,0.244525547
324174,beat,350,208,1599,0.614678899,0.244525547
324375,beat,350,207,1800,0.614678899,0.240875912
324681,beat,350,206,2106,0.614678899,0.237226277
324878,beat,350,207,2303,0.614678899,0.240875912
324998,beat,350,206,2423,0.614678899,0.237226277
325188,beat,323,206,2613,0.490825688,0.237226277
325382,beat,323,206,2807,0.490825688,0.237226277
325499,beat,323,207,2924,0.490825688,0.240875912
325691,beat,323,206,3116,0.490825688,0.237226277
325898,beat,323,206,3323,0.490825688,0.237226277
326013,beat,323,205,3438,0.490825688,0.233576642
326197,beat,323,205,3622,0.490825688,0.233576642
326413,beat,323,204,3838,0.490825688,0.229927007
326530,beat,323,204,3955,0.490825688,0.229927007
326707,beat,323,202,4132,0.490825688,0.222627737
326924,beat,323,201,4349,0.490825688,0.218978102
327047,beat,323,200,4472,0.490825688,0.215328467
327221,beat,323,200,4646,0.490825688,0.215328467
327446,beat,323,199,4871,0.490825688,0.211678832
327564,beat,323,199,4989,0.490825688,0.211678832
327569,beat,323,198,4994,0.490825688,0.208029197
327663,beat,323,199,5088,0.490825688,0.211678832
327716,beat,323,198,5141,0.490825688,0.208029197
327949,beat,323,200,5374,0.490825688,0.215328467
328168,beat,323,200,5593,0.490825688,0.215328467
328473,beat,323,201,5898,0.490825688,0.218978102
328672,beat,364,201,6097,0.678899083,0.218978102
328988,beat,364,202,6413,0.678899083,0.222627737
329186,beat,364,202,6611,0.678899083,0.222627737
329387,beat,364,203,6812,0.678899083,0.226277372
329698,beat,364,202,7123,0.678899083,0.222627737
329905,beat,364,201,7330,0.678899083,0.218978102
330212,beat,364,200,7637,0.678899083,0.215328467
330419,beat,364,200,7844,0.678899083,0.215328467
330537,beat,364,199,7962,0.678899083,0.211678832
330729,beat,364,199,8154,0.678899083,0.211678832
330935,beat,364,199,8360,0.678899083,0.211678832
331053,beat,364,200,8478,0.678899083,0.215328467
331246,beat,364,203,8671,0.678899083,0.226277372
331439,beat,364,203,8864,0.678899083,0.226277372
331564,beat,364,202,8989,0.678899083,0.222627737
331765,beat,364,201,9190,0.678899083,0.218978102
331961,beat,364,201,9386,0.678899083,0.218978102
332075,beat,364,203,9500,0.678899083,0.226277372
332285,beat,364,203,9710,0.678899083,0.226277372
332479,beat,364,204,9904,0.678899083,0.229927007
332603,beat,364,204,10028,0.678899083,0.229927007
332802,beat,314,204,10227,0.449541284,0.229927007
332987,beat,314,206,10412,0.449541284,0.237226277
333113,beat,314,210,10538,0.449541284,0.251824818
333229,beat,314,210,10654,0.449541284,0.251824818
333318,beat,314,209,10743,0.449541284,0.248175182
333487,beat,314,205,10912,0.449541284,0.233576642
333502,beat,314,206,10927,0.449541284,0.237226277
333628,beat,314,205,11053,0.449541284,0.233576642
333834,beat,314,204,11259,0.449541284,0.229927007
334147,beat,314,203,11572,0.449541284,0.226277372
334353,beat,314,205,11778,0.449541284,0.233576642
334534,beat,314,208,11959,0.449541284,0.244525547
334685,beat,314,210,12110,0.449541284,0.251824818
334872,beat,314,209,12297,0.449541284,0.248175182
335051,beat,314,210,12476,0.449541284,0.251824818
335183,beat,314,210,12608,0.449541284,0.251824818
335386,beat,314,210,12811,0.449541284,0.251824818
335584,beat,314,210,13009,0.449541284,0.251824818
335702,beat,314,211,13127,0.449541284,0.255474453
335901,beat,314,210,13326,0.449541284,0.251824818
336104,beat,314,211,13529,0.449541284,0.255474453
336225,beat,370,211,13650,0.706422018,0.255474453
336416,beat,370,211,13841,0.706422018,0.255474453
336627,beat,370,212,14052,0.706422018,0.259124088
336745,beat,370,213,14170,0.706422018,0.262773723
336933,beat,370,212,14358,0.706422018,0.259124088
337157,beat,370,213,14582,0.706422018,0.262773723
337275,beat,370,215,14700,0.706422018,0.270072993
337451,beat,370,220,14876,0.706422018,0.288321168
337675,beat,370,217,15100,0.706422018,0.277372263
337800,beat,370,217,15225,0.706422018,0.277372263
337903,beat,370,214,15328,0.706422018,0.266423358
337958,beat,370,214,15383,0.706422018,0.266423358
338075,beat,370,213,15500,0.706422018,0.262773723
338206,beat,370,215,15631,0.706422018,0.270072993
338419,beat,370,214,15844,0.706422018,0.266423358
338608,beat,370,213,16033,0.706422018,0.262773723
338733,beat,370,212,16158,0.706422018,0.259124088
338935,beat,370,213,16360,0.706422018,0.262773723
339144,beat,370,213,16569,0.706422018,0.262773723
339448,beat,370,210,16873,0.706422018,0.251824818
339667,beat,370,210,17092,0.706422018,0.251824818
339963,beat,338,210,17388,0.559633028,0.251824818
340192,beat,338,209,17617,0.559633028,0.248175182
340475,beat,338,211,17900,0.559633028,0.255474453
340719,beat,338,211,18144,0.559633028,0.255474453
340932,beat,338,213,18357,0.559633028,0.262773723
341123,beat,338,212,18548,0.559633028,0.259124088
341249,beat,338,212,18674,0.559633028,0.259124088
341447,beat,338,211,18872,0.559633028,0.255474453
341655,beat,338,211,19080,0.559633028,0.255474453
341963,beat,338,207,19388,0.559633028,0.240875912
342180,beat,338,206,19605,0.559633028,0.237226277
